City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,stanley,54.868,-1.6985,3.76,94,20,2.57,GB,1709414015
84,manokwari,-0.8667,134.0833,25.24,85,100,1.79,ID,1709414015
85,touros,-5.1989,-35.4608,27.95,77,61,2.59,BR,1709414016
86,rovaniemi,66.5,25.7167,0.67,100,100,6.17,FI,1709414016
87,remire-montjoly,4.9167,-52.2667,27.02,83,75,3.09,GF,1709413828
88,guelendeng,10.9176,15.5501,32.26,13,96,3.28,TD,1709414016
89,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,86,75,4.47,RU,1709414016
90,saipan,15.1355,145.701,26.39,83,75,3.09,MP,1709414016
91,hawaiian paradise park,19.5933,-154.9731,25.02,78,0,3.6,US,1709414016
92,barcelos,41.5388,-8.6151,10.08,86,31,2.68,PT,1709414016
93,ancud,-41.8697,-73.8203,14.31,56,31,2.99,CL,1709413957
94,vrontados,38.4089,26.1328,9.92,93,20,0.0,GR,1709414017
95,san patricio,28.017,-97.5169,24.53,59,73,3.85,US,1709414017
96,ust-nera,64.5667,143.2,-23.08,99,100,2.45,RU,1709414017
97,haiku-pauwela,20.9219,-156.3051,25.01,70,20,8.75,US,1709414017
98,bam,29.106,58.357,4.6,42,0,1.41,IR,1709414017
99,seguin,29.5688,-97.9647,29.44,55,0,4.63,US,1709414017
100,afaahiti,-17.75,-149.2833,29.93,80,98,6.39,PF,1709414017
101,el granada,37.5027,-122.4694,12.94,66,20,6.17,US,1709414018
102,luderitz,-26.6481,15.1594,17.73,85,0,4.02,NA,1709414018
103,sinan,34.8262,126.1086,7.15,64,62,8.42,KR,1709414018
104,kuta,-8.7233,115.1723,26.97,100,40,2.68,ID,1709414018
105,atafu village,-8.5421,-172.5159,29.11,77,70,7.19,TK,1709414018
106,avarua,-21.2078,-159.775,30.03,70,20,3.6,CK,1709413767
107,la passe,45.5549,-0.8967,7.23,80,100,4.23,FR,1709414018
108,holualoa,19.6228,-155.9522,24.91,70,0,4.12,US,1709414019
109,port mathurin,-19.6833,63.4167,26.53,86,9,8.21,MU,1709414019
110,naze,28.3667,129.4833,11.41,68,100,2.4,JP,1709414019
111,thompson,55.7435,-97.8558,-14.21,76,100,3.18,CA,1709414019
112,anadyr,64.75,177.4833,-10.72,84,100,11.0,RU,1709414019
113,talnakh,69.4865,88.3972,-10.44,94,100,5.9,RU,1709414019
114,williamson,30.6502,-97.6003,29.77,41,0,4.12,US,1709414019
115,lerwick,60.1545,-1.1494,6.0,85,100,9.06,GB,1709413948
116,yuzhno-kurilsk,44.0306,145.8556,-5.35,83,45,9.13,RU,1709414020
117,malango,-2.9627,119.9001,20.83,97,100,0.79,ID,1709414020
118,sovetskiy,61.3614,63.5842,-2.28,85,73,4.02,RU,1709414020
119,hobyo,5.3505,48.5268,27.02,84,66,6.26,SO,1709414020
120,ciudad lazaro cardenas,17.9583,-102.2,28.87,53,10,5.71,MX,1709414020
121,kizhinga,51.8462,109.9097,-17.17,98,100,0.95,RU,1709414020
122,lazaro cardenas,17.9583,-102.2,28.87,53,10,5.71,MX,1709414020
123,saiki,32.95,131.9,2.11,59,1,2.62,JP,1709414021
124,bang saphan,11.2126,99.5117,24.14,93,93,1.3,TH,1709414021
125,bayanhongor,46.7167,100.1167,-23.99,67,36,1.84,MN,1709414021
126,san julian,21.0167,-102.1667,25.44,16,73,6.22,MX,1709413952
127,tongouson,5.0214,120.1328,26.19,84,74,2.3,PH,1709414021
128,mezdra,43.15,23.7,7.65,91,100,0.62,BG,1709414021
129,linxia chengguanzhen,35.6003,103.2064,-3.13,76,100,1.02,CN,1709414021
130,klyuchi,52.2667,79.1667,-15.52,100,83,2.23,RU,1709414021
131,kailua-kona,19.6406,-155.9956,26.98,70,0,4.12,US,1709414022
132,kourou,5.1552,-52.6478,27.03,76,71,3.72,GF,1709414022
133,matelandia,-25.2408,-53.9964,32.98,37,2,1.83,BR,1709414022
134,sitka,57.0531,-135.33,-2.06,40,0,3.09,US,1709414022
135,mildura,-34.2,142.15,15.99,43,0,4.51,AU,1709414022
136,paranaiba,-19.6772,-51.1908,32.88,40,93,4.86,BR,1709414022
137,faya-largeau,17.9257,19.1043,26.09,14,29,9.15,TD,1709414022
138,nemuro,43.3236,145.575,-5.76,73,1,10.54,JP,1709414023
139,ulaangom,49.9811,92.0667,-23.86,87,86,1.35,MN,1709414023
140,noosa heads,-26.3833,153.15,26.17,88,79,3.31,AU,1709414023
141,san jose,37.3394,-121.895,12.9,61,75,5.14,US,1709413538
142,lompoc,34.6391,-120.4579,17.1,65,75,5.66,US,1709414023
